movie_slug,role_name,original_actor,suggestions
the-office,Jim Halpert,John Krasinski,Ryan Gosling; Jake Gyllenhaal; Andrew Garfield; James Marsden; Theo James; Dylan Wang; Joe Keery; Jacob Elordi
the-office,Pam Beesly,Jenna Fischer,Emma Stone; Rachel McAdams; Anya Taylor-Joy; Samara Weaving; Jenna Ortega; Madelyn Cline; Margaret Qualley; Lily James
the-office,Andy Bernard,Ed Helms,Simon Baker; Pedro Pascal; Jude Law; Benedict Cumberbatch; Mads Mikkelsen; Aidan Gillen; Nicholas Hoult; Josh Brolin
arrested-development,Michael Bluth,Jason Bateman,Ryan Gosling; Jake Gyllenhaal; Andrew Garfield; Jesse Plemons; Edward Norton; Jude Law; Jon Bernthal; Hayden Christensen
arrested-development,Lindsay Bluth Fünke,Portia De Rossi,Margot Robbie; Charlize Theron; Reese Witherspoon; Rachel McAdams; Keira Knightley; Penélope Cruz; Ana de Armas; Emilia Clarke
arrested-development,Gob Bluth,Will Arnett,Jason Momoa; Chris Hemsworth; Vin Diesel; Dave Bautista; Idris Elba; Dwayne Johnson; Javier Bardem
arrested-development,George Michael Bluth,Michael Cera,Jacob Elordi; Tom Holland; Finn Wolfhard; Jack O'Connell; Barry Keoghan; Noah Fearnley; Song Weilong
arrested-development,Maeby Fünke,Alia Shawkat,Anya Taylor-Joy; Madelyn Cline; Jenna Ortega; Hailee Steinfeld; Margaret Qualley; Zendaya; Sydney Sweeney; Elle Fanning
arrested-development,"Byron ""Buster"" Bluth",Tony Hale,
arrested-development,Tobias Fünke,David Cross,Will Ferrell; Jack Black; Paul Rudd; Woody Harrelson; Will Arnett; Adam Sandler; Jim Carrey
deadwood,Seth Bullock,Timothy Olyphant,Jake Gyllenhaal; Jon Bernthal; Edward Norton; Jesse Plemons; Walton Goggins; Jeffrey Dean Morgan; Jack O'Connell; Aidan Gillen
deadwood,Al Swearengen,Ian McShane,Johnny Depp; Javier Bardem; Mark Strong; Mads Mikkelsen; Ralph Fiennes; Matthew McConaughey; Al Pacino
deadwood,Alma Garret,Molly Parker,Rosamund Pike; Rebecca Ferguson; Rachel McAdams; Kate Winslet; Rachel Weisz; Amy Adams; Charlize Theron; Margot Robbie
deadwood,Whitney Ellsworth,Jim Beaver,Devon Bostick; Barry Keoghan; Jack O'Connell; Joe Keery; Nicholas Hoult; Andrew Garfield; Josh Brolin
deadwood,Dan Dority,W. Earl Brown,Walton Goggins; Shia LaBeouf; Scott Adkins; Paul Anderson; Mel Gibson; Kevin Bacon; Joe Keery; Ben Affleck
deadwood,Charlie Utter,Dayton Callie,Sam Elliott; Clint Eastwood; Kurt Russell; Liam Neeson; Ed Harris; Terence Hill; Mel Gibson; Kevin Bacon
deadwood,Amos Cochran,Brad Dourif,Willem Dafoe; Brad Dourif; Jeffrey Dean Morgan; Mark Strong; Jude Law; Tony Leung Chiu-wai; Ralph Fiennes; Tim Roth
oz,Tobias Beecher,Lee Tergesen,Jacob Elordi; Jack O'Connell; Andrew Garfield; Jesse Plemons; Joe Keery; Barry Keoghan; Hayden Christensen; Theo James
oz,Augustus Hill,Harold Perrineau,Idris Elba; Denzel Washington; Woody Harrelson; Walton Goggins; Stephen Graham; Irrfan Khan; Mark Strong; Javier Bardem
oz,Ryan O'Reily,Dean Winters,Tom Hardy; Jon Bernthal; Edward Norton; Jake Gyllenhaal; Josh Brolin; Adrien Brody; Paul Anderson; Scott Adkins
oz,Kareem Saïd,Eamonn Walker,Denzel Washington; Idris Elba; Javier Bardem; Ralph Fiennes; Mads Mikkelsen; Mark Strong; Jeffrey Dean Morgan
oz,Leo Glynn,Ernie Hudson,Morgan Freeman; Liam Neeson; Harrison Ford; Sam Elliott; Ed Harris; Clint Eastwood; Kevin Bacon; Kurt Russell
oz,Tim McManus,Terry Kinney,Simon Baker; Aidan Gillen; Jude Law; Jim Carrey; James Marsden; Nathan Fillion; Benedict Cumberbatch; Matthew McConaughey
oz,Sister Peter Marie Reimondo,Rita Moreno,Penélope Cruz; Emma Thompson; Frances McDormand; Amy Madigan; Michelle Pfeiffer; Julianne Moore; Jennifer Jason Leigh; Rebecca Ferguson
